UF;Municipio; Populacao 
RS;Santo Antônio das Missões;9.930
RS;Santo Antônio do Planalto;2.018
RS;Santo Augusto;13.813
RS;Santo Cristo;14.177
RS;Santo Expedito do Sul;2.287
RS;São Borja;59.768
RS;São Domingos do Sul;3.091
RS;São Francisco de Assis;18.081
RS;São Francisco de Paula;21.871
RS;São Gabriel;62.187
RS;São Jerônimo;24.569
RS;São João da Urtiga;4.625
RS;São João do Polêsine;2.535
RS;São Jorge;2.808
RS;São José das Missões;2.491
RS;São José do Herval;1.917
RS;São José do Hortêncio;4.924
RS;São José do Inhacorá;2.040
RS;São José do Norte;27.866
RS;São José do Ouro;6.911
RS;São José do Sul;2.464
RS;São José dos Ausentes;3.559
RS;São Leopoldo;240.378
RS;São Lourenço do Sul;43.501
RS;São Luiz Gonzaga;33.124
RS;São Marcos;21.756
RS;São Martinho;5.336
RS;São Martinho da Serra;3.228
RS;São Miguel das Missões;7.692
RS;São Nicolau;5.153
RS;São Paulo das Missões;5.654
RS;São Pedro da Serra;3.881
RS;São Pedro das Missões;2.025
RS;São Pedro do Butiá;2.950
RS;São Pedro do Sul;16.100
RS;São Sebastião do Caí;26.161
RS;São Sepé;23.492
RS;São Valentim;3.220
RS;São Valentim do Sul;2.248
RS;São Valério do Sul;2.732
RS;São Vendelino;2.288
RS;São Vicente do Sul;8.742
RS;Sapiranga;80.514
RS;Sapucaia do Sul;142.508
RS;Sarandi;25.024
RS;Seberi;10.678
RS;Sede Nova;2.875
RS;Segredo;7.465
RS;Selbach;5.114
RS;Senador Salgado Filho;2.761
RS;Sentinela do Sul;5.635
RS;Serafina Corrêa;18.074
RS;Sério;1.889
RS;Sertão;5.220
RS;Sertão Santana;6.586
RS;Sete de Setembro;1.931
RS;Severiano de Almeida;3.607
RS;Silveira Martins;2.365
RS;Sinimbu;10.152
RS;Sobradinho;15.041
RS;Soledade;31.067
RS;Tabaí;4.816
RS;Tapejara;24.973
RS;Tapera;10.569
RS;Tapes;17.363
RS;Taquara;57.740
RS;Taquari;26.907
RS;Taquaruçu do Sul;3.081
RS;Tavares;5.484
RS;Tenente Portela;13.385
RS;Terra de Areia;11.323
RS;Teutônia;34.275
RS;Tio Hugo;3.078
RS;Tiradentes do Sul;5.532
RS;Toropi;2.753
RS;Torres;39.381
RS;Tramandaí;53.507
RS;Travesseiro;2.331
RS;Três Arroios;2.620
RS;Três Cachoeiras;11.174
RS;Três Coroas;28.948
RS;Três de Maio;23.846
RS;Três Forquilhas;2.643
RS;Três Palmeiras;4.232
RS;Três Passos;23.799
RS;Trindade do Sul;5.781
RS;Triunfo;30.159
RS;Tucunduva;5.612
RS;Tunas;4.585
RS;Tupanci do Sul;1.447
RS;Tupanciretã;24.182
RS;Tupandi;5.019
RS;Tuparendi;7.730
RS;Turuçu;3.408
RS;Ubiretama;1.952
RS;União da Serra;1.084
RS;Unistalda;2.306
RS;Uruguaiana;126.766
RS;Vacaria;66.916
RS;Vale Verde;3.531
RS;Vale do Sol;11.873
RS;Vale Real;6.046
RS;Vanini;2.130
RS;Venâncio Aires;72.373
RS;Vera Cruz;27.325
RS;Veranópolis;26.813
RS;Vespasiano Corrêa;1.776
RS;Viadutos;4.628
RS;Viamão;257.330
RS;Vicente Dutra;4.530
RS;Victor Graeff;2.840
RS;Vila Flores;3.407
RS;Vila Lângaro;2.070
RS;Vila Maria;4.368
RS;Vila Nova do Sul;4.274
RS;Vista Alegre;2.726
RS;Vista Alegre do Prata;1.553
RS;Vista Gaúcha;2.858
RS;Vitória das Missões;3.052
RS;Westfália;3.046
RS;Xangri-lá;17.126
MS;Água Clara;16.025
MS;Alcinópolis;5.489
MS;Amambai;40.247
MS;Anastácio;25.336
MS;Anaurilândia;9.116
MS;Angélica;11.081
MS;Antônio João;9.082
MS;Aparecida do Taboado;26.386
MS;Aquidauana;48.184
MS;Aral Moreira;12.511
MS;Bandeirantes;7.281
MS;Bataguassu;23.620
MS;Batayporã;11.368
MS;Bela Vista;24.842
MS;Bodoquena;7.802
MS;Bonito;22.401
MS;Brasilândia;11.835
MS;Caarapó;31.005
MS;Camapuã;13.675
MS;Campo Grande;916.001
MS;Caracol;6.247
MS;Cassilândia;22.063
MS;Chapadão do Sul;26.499
MS;Corguinho;6.158
MS;Coronel Sapucaia;15.449
MS;Corumbá;112.669
MS;Costa Rica;21.456
MS;Coxim;33.547
MS;Deodápolis;13.043
MS;Dois Irmãos do Buriti;11.547
MS;Douradina;6.025
MS;Dourados;227.990
MS;Eldorado;12.447
MS;Fátima do Sul;19.152
MS;Figueirão;3.066
MS;Glória de Dourados;9.934
MS;Guia Lopes da Laguna;9.754
MS;Iguatemi;16.273
MS;Inocência;7.566
MS;Itaporã;25.478
MS;Itaquiraí;21.604
MS;Ivinhema;23.277
MS;Japorã;9.372
MS;Jaraguari;7.342
MS;Jardim;26.375
MS;Jateí;4.015
MS;Juti;6.861
MS;Ladário;24.040
MS;Laguna Carapã;7.496
MS;Maracaju;48.944
MS;Miranda;28.423
MS;Mundo Novo;18.578
MS;Naviraí;56.484
MS;Nioaque;13.794
MS;Nova Alvorada do Sul;22.967
MS;Nova Andradina;56.057
MS;Novo Horizonte do Sul;3.556
MS;Paraíso das Águas;5.751
MS;Paranaíba;42.401
MS;Paranhos;14.576
MS;Pedro Gomes;7.568
MS;Ponta Porã;95.320
MS;Porto Murtinho;17.460
MS;Ribas do Rio Pardo;25.310
MS;Rio Brilhante;38.844
MS;Rio Negro;4.758
MS;Rio Verde de Mato Grosso;20.025
MS;Rochedo;5.120
MS;Santa Rita do Pardo;7.948
MS;São Gabriel do Oeste;27.660
MS;Sete Quedas;10.751
MS;Selvíria;6.555
MS;Sidrolândia;60.792
MS;Sonora;20.158
MS;Tacuru;11.795
MS;Taquarussu;3.588
MS;Terenos;22.721
MS;Três Lagoas;125.137
MS;Vicentina;6.115
MT;Acorizal;5.309
MT;Água Boa;26.679
MT;Alta Floresta;52.105
MT;Alto Araguaia;19.714
MT;Alto Boa Vista;7.092
MT;Alto Garças;12.323
MT;Alto Paraguai;11.587
MT;Alto Taquari;11.413
MT;Apiacás;10.431
MT;Araguaiana;3.064
MT;Araguainha;909
MT;Araputanga;17.078
MT;Arenápolis;9.399
MT;Aripuanã;23.067
MT;Barão de Melgaço;8.165
MT;Barra do Bugres;35.642
MT;Barra do Garças;61.702
MT;Bom Jesus do Araguaia;6.830
MT;Brasnorte;20.571
MT;Cáceres;95.339
MT;Campinápolis;16.223
MT;Campo Novo do Parecis;36.917
MT;Campo Verde;44.033
MT;Campos de Júlio;7.245
MT;Canabrava do Norte;4.711
MT;Canarana;22.101
MT;Carlinda;10.094
MT;Castanheira;8.782
MT;Chapada dos Guimarães;22.521
MT;Cláudia;12.338
MT;Cocalinho;5.716
MT;Colíder;33.855
MT;Colniza;41.117
MT;Comodoro;21.249
MT;Confresa;32.076
MT;Conquista D'Oeste;4.163
MT;Cotriguaçu;20.717
MT;Cuiabá;623.614
MT;Curvelândia;5.267
MT;Denise;9.626
MT;Diamantino;22.311
MT;Dom Aquino;8.087
MT;Feliz Natal;14.847
MT;Figueirópolis D'Oeste;3.411
MT;Gaúcha do Norte;7.913
MT;General Carneiro;5.726
MT;Glória D'Oeste;2.990
MT;Guarantã do Norte;36.439
MT;Guiratinga;15.740
MT;Indiavaí;2.806
MT;Ipiranga do Norte;8.182
MT;Itanhangá;7.030
MT;Itaúba;3.609
MT;Itiquira;13.727
MT;Jaciara;27.696
MT;Jangada;8.420
MT;Jauru;8.377
MT;Juara;35.275
MT;Juína;41.190
MT;Juruena;16.811
MT;Juscimeira;11.124
MT;Lambari D'Oeste;6.246
MT;Lucas do Rio Verde;69.671
MT;Luciara;2.036
MT;Vila Bela da Santíssima Trindade;16.412
MT;Marcelândia;10.107
MT;Matupá;17.017
MT;Mirassol d'Oeste;28.135
MT;Nobres;15.332
MT;Nortelândia;5.858
MT;Nossa Senhora do Livramento;13.093
MT;Nova Bandeirantes;16.052
MT;Nova Nazaré;4.013
MT;Nova Lacerda;6.861
MT;Nova Santa Helena;3.755
MT;Nova Brasilândia;3.656
MT;Nova Canaã do Norte;12.876
MT;Nova Mutum;48.222
MT;Nova Olímpia;20.820
MT;Nova Ubiratã;12.492
MT;Nova Xavantina;21.695
MT;Novo Mundo;9.545
MT;Novo Horizonte do Norte;4.069
MT;Novo São Joaquim;4.837
MT;Paranaíta;11.291
MT;Paranatinga;23.250
MT;Novo Santo Antônio;2.769
MT;Pedra Preta;17.547
MT;Peixoto de Azevedo;35.695
MT;Planalto da Serra;2.637
MT;Poconé;33.386
MT;Pontal do Araguaia;6.972
MT;Ponte Branca;1.525
MT;Pontes e Lacerda;46.105
MT;Porto Alegre do Norte;12.849
MT;Porto dos Gaúchos;5.344
MT;Porto Esperidião;12.176
MT;Porto Estrela;2.794
MT;Poxoréu;15.936
MT;Primavera do Leste;63.876
MT;Querência;18.386
MT;São José dos Quatro Marcos;18.788
MT;Reserva do Cabaçal;2.754
MT;Ribeirão Cascalheira;10.450
MT;Ribeirãozinho;2.439
MT;Rio Branco;5.147
MT;Santa Carmem;4.600
MT;Santo Afonso;3.164
MT;São José do Povo;4.102
MT;São José do Rio Claro;21.351
MT;São José do Xingu;5.646
MT;São Pedro da Cipa;4.823
MT;Rondolândia;4.069
MT;Rondonópolis;239.613
MT;Rosário Oeste;16.999
MT;Santa Cruz do Xingu;2.700
MT;Salto do Céu;3.226
MT;Santa Rita do Trivelato;3.602
MT;Santa Terezinha;8.547
MT;Santo Antônio do Leste;5.459
MT;Santo Antônio do Leverger;17.188
MT;São Félix do Araguaia;11.934
MT;Sapezal;27.485
MT;Serra Nova Dourada;1.705
MT;Sinop;148.960
MT;Sorriso;94.941
MT;Tabaporã;9.357
MT;Tangará da Serra;107.631
MT;Tapurah;14.380
MT;Terra Nova do Norte;9.284
MT;Tesouro;3.761
MT;Torixoréu;3.487
MT;União do Sul;3.455
MT;Vale de São Domingos;3.124
MT;Várzea Grande;290.383
MT;Vera;11.731
MT;Vila Rica;26.946
MT;Nova Guarita;4.407
MT;Nova Marilândia;3.332
MT;Nova Maringá;9.056
MT;Nova Monte Verde;9.375
GO;Abadia de Goiás;9.158
GO;Abadiânia;20.873
GO;Acreúna;22.710
GO;Adelândia;2.515
GO;Água Fria de Goiás;5.843
GO;Água Limpa;1.809
GO;Águas Lindas de Goiás;222.850
GO;Alexânia;28.360
GO;Aloândia;1.976
GO;Alto Horizonte;6.796
GO;Alto Paraíso de Goiás;7.751
GO;Alvorada do Norte;8.749
GO;Amaralina;3.875
GO;Americano do Brasil;6.220
GO;Amorinópolis;3.011
GO;Anápolis;396.526
GO;Anhanguera;1.171
GO;Anicuns;22.113
GO;Aparecida de Goiânia;601.844
GO;Aparecida do Rio Doce;2.474
GO;Aporé;4.266
GO;Araçu;3.450
GO;Aragarças;20.410
GO;Aragoiânia;10.680
GO;Araguapaz;7.795
GO;Arenópolis;2.462
GO;Aruanã;10.340
GO;Aurilândia;3.000
GO;Avelinópolis;2.401
GO;Baliza;5.418
GO;Barro Alto;11.643
GO;Bela Vista de Goiás;31.004
GO;Bom Jardim de Goiás;8.912
GO;Bom Jesus de Goiás;26.069
GO;Bonfinópolis;10.120
GO;Bonópolis;4.579
GO;Brazabrantes;3.812
GO;Britânia;5.815
GO;Buriti Alegre;9.515
GO;Buriti de Goiás;2.464
GO;Buritinópolis;3.272
GO;Cabeceiras;8.098
GO;Cachoeira Alta;12.843
GO;Cachoeira de Goiás;1.336
GO;Cachoeira Dourada;7.997
GO;Caçu;16.525
GO;Caiapônia;19.304
GO;Caldas Novas;95.183
GO;Caldazinha;3.900
GO;Campestre de Goiás;3.662
GO;Campinaçu;3.628
GO;Campinorte;12.880
GO;Campo Alegre de Goiás;7.884
GO;Campo Limpo de Goiás;8.087
GO;Campos Belos;20.124
GO;Campos Verdes;1.526
GO;Carmo do Rio Verde;10.299
GO;Castelândia;3.380
GO;Catalão;113.091
GO;Caturaí;5.132
GO;Cavalcante;9.740
GO;Ceres;22.407
GO;Cezarina;8.794
GO;Chapadão do Céu;10.797
GO;Cidade Ocidental;74.370
GO;Cocalzinho de Goiás;20.771
GO;Colinas do Sul;3.339
GO;Córrego do Ouro;2.254
GO;Corumbá de Goiás;11.223
GO;Corumbaíba;10.012
GO;Cristalina;61.385
GO;Cristianópolis;2.962
GO;Crixás;17.136
GO;Cromínia;3.458
GO;Cumari;2.820
GO;Damianópolis;3.302
GO;Damolândia;2.944
GO;Davinópolis;2.094
GO;Diorama;2.477
GO;Doverlândia;7.174
GO;Edealina;3.678
GO;Edéia;12.559
GO;Estrela do Norte;3.253
GO;Faina;6.527
GO;Fazenda Nova;5.471
GO;Firminópolis;13.604
GO;Flores de Goiás;17.415
GO;Formosa;125.705
GO;Formoso;4.098
GO;Gameleira de Goiás;3.923
GO;Divinópolis de Goiás;4.701
GO;Goianápolis;11.217
GO;Goiandira;5.650
GO;Goianésia;72.045
GO;Goiânia;1.555.626
GO;Goianira;46.278
GO;Goiás;22.122
GO;Goiatuba;34.307
GO;Gouvelândia;6.076
GO;Guapó;14.206
GO;Guaraíta;1.905
GO;Guarani de Goiás;3.801
GO;Guarinos;1.681
GO;Heitoraí;3.742
GO;Hidrolândia;22.533
GO;Hidrolina;3.450
GO;Iaciara;14.215
GO;Inaciolândia;6.275
GO;Indiara;15.962
GO;Inhumas;53.655
GO;Ipameri;27.365
GO;Ipiranga de Goiás;2.892
GO;Iporá;31.471
GO;Israelândia;2.772
GO;Itaberaí;44.329
GO;Itaguari;4.684
GO;Itaguaru;5.184
GO;Itajá;4.412
GO;Itapaci;23.850
GO;Itapirapuã;4.380
GO;Itapuranga;25.597
GO;Itarumã;7.337
GO;Itauçu;8.968
GO;Itumbiara;106.845
GO;Ivolândia;2.295
GO;Jandaia;6.001
GO;Jaraguá;52.160
GO;Jataí;103.221
GO;Jaupaci;2.843
GO;Jesúpolis;2.497
GO;Joviânia;7.417
GO;Jussara;18.266
GO;Lagoa Santa;1.652
GO;Leopoldo de Bulhões;7.663
GO;Luziânia;214.645
GO;Mairipotaba;2.358
GO;Mambaí;9.277
GO;Mara Rosa;9.234
GO;Marzagão;2.263
GO;Matrinchã;4.321
GO;Maurilândia;14.568
GO;Mimoso de Goiás;2.575
GO;Minaçu;28.518
GO;Mineiros;69.477
GO;Moiporá;1.471
GO;Monte Alegre de Goiás;8.759
GO;Montes Claros de Goiás;8.037
GO;Montividiu;13.935
GO;Montividiu do Norte;4.538
GO;Morrinhos;46.955
GO;Morro Agudo de Goiás;2.217
GO;Mossâmedes;4.120
GO;Mozarlândia;16.077
GO;Mundo Novo;4.540
GO;Mutunópolis;3.749
GO;Nazário;9.375
GO;Nerópolis;30.931
GO;Niquelândia;47.064
GO;Nova América;2.362
GO;Nova Aurora;2.236
GO;Nova Crixás;13.020
GO;Nova Glória;8.063
GO;Nova Iguaçu de Goiás;2.939
GO;Nova Roma;3.208
GO;Nova Veneza;10.193
GO;Novo Brasil;2.775
GO;Novo Gama;119.649
GO;Novo Planalto;4.592
GO;Orizona;15.834
GO;Ouro Verde de Goiás;3.679
GO;Ouvidor;6.895
GO;Padre Bernardo;35.011
GO;Palestina de Goiás;3.470
GO;Palmeiras de Goiás;29.915
GO;Palmelo;2.382
GO;Palminópolis;3.578
GO;Panamá;2.590
GO;Paranaiguara;10.221
GO;Paraúna;10.988
GO;Perolândia;3.156
GO;Petrolina de Goiás;10.240
GO;Pilar de Goiás;2.135
GO;Piracanjuba;24.543
GO;Piranhas;10.161
GO;Pirenópolis;25.218
GO;Pires do Rio;31.909
GO;Planaltina;91.345
GO;Pontalina;17.899
GO;Porangatu;45.866
GO;Porteirão;3.979
GO;Portelândia;4.032
GO;Posse;37.924
GO;Professor Jamil;3.211
GO;Quirinópolis;51.323
GO;Rialma;10.961
GO;Rianápolis;4.832
GO;Rio Quente;4.728
GO;Rio Verde;247.259
GO;Rubiataba;20.012
GO;Sanclerlândia;7.630
GO;Santa Bárbara de Goiás;6.701
GO;Santa Cruz de Goiás;2.782
GO;Santa Fé de Goiás;5.585
GO;Santa Helena de Goiás;38.962
GO;Santa Isabel;3.821
GO;Santa Rita do Araguaia;9.110
GO;Santa Rita do Novo Destino;3.367
GO;Santa Rosa de Goiás;2.200
GO;Santa Tereza de Goiás;3.207
GO;Santa Terezinha de Goiás;8.386
GO;Santo Antônio da Barra;4.886
GO;Santo Antônio de Goiás;6.593
GO;Santo Antônio do Descoberto;76.871
GO;São Domingos;13.305
GO;São Francisco de Goiás;6.265
GO;São João d'Aliança;14.423
GO;São João da Paraúna;1.312
GO;São Luís de Montes Belos;34.488
GO;São Luiz do Norte;5.263
GO;São Miguel do Araguaia;21.849
GO;São Miguel do Passa Quatro;4.105
GO;São Patrício;2.040
GO;São Simão;21.318
GO;Senador Canedo;121.447
GO;Serranópolis;8.737
GO;Silvânia;20.938
GO;Simolândia;6.895
GO;Sítio d'Abadia;3.040
GO;Taquaral de Goiás;3.506
GO;Teresina de Goiás;3.538
GO;Terezópolis de Goiás;8.326
GO;Três Ranchos;2.830
GO;Trindade;132.006
GO;Trombas;3.497
GO;Turvânia;4.526
GO;Turvelândia;5.447
GO;Uirapuru;2.829
GO;Uruaçu;41.150
GO;Uruana;13.795
GO;Urutaí;3.056
GO;Valparaíso de Goiás;175.720
GO;Varjão;3.848
GO;Vianópolis;14.088
GO;Vicentinópolis;9.002
GO;Vila Boa;6.451
GO;Vila Propício;5.941
DF;Brasília;3.094.325
